DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean,Borough
20K485,High School of Telecommunication Arts ,221,450,471,440,Brooklyn
20K490,FORT HAMILTON HIGH SCHOOL ,581,416,486,409,Brooklyn
20K505,Franklin D Roosevelt High School ,385,387,492,377,Brooklyn
20K658,YABC at Franklin D. Roosevelt High School ,33,363,443,369,Brooklyn
21K337,International High School at LaFayette ,35,355,395,355,Brooklyn
21K344,Rachel Carson High School for Coastal Studies ,66,422,459,418,Brooklyn
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT ,33,370,427,381,Brooklyn
21K400,LAFAYETTE HIGH SCHOOL ,40,327,367,315,Brooklyn
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,379,386,429,385,Brooklyn
21K412/21K411,YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,,,,,Brooklyn
21K525,EDWARD R MURROW HIGH SCHOOL ,686,472,503,468,Brooklyn
21K540,JOHN DEWEY HIGH SCHOOL ,349,414,465,396,Brooklyn
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,,,,,Brooklyn
21K572,Expeditionary Learning Sch for Community Leaders ,,,,,Brooklyn
21K620,William E. Grady Vocational Technical High School ,56,385,393,361,Brooklyn
21K690,BROOKLYN STUDIO SECONDARY SCH ,86,426,419,418,Brooklyn
21K728,Liberation Diploma Plus High School ,13,402,351,380,Brooklyn
22K405,Midwood High School at Brooklyn College ,725,493,543,491,Brooklyn
22K425,JAMES MADISON HIGH SCHOOL ,641,449,478,445,Brooklyn
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,192,380,416,380,Brooklyn
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,239,543,578,559,Brooklyn
22K555,Brooklyn College Academy High School ,109,459,460,446,Brooklyn
23K493,BROOKLYN COLLEGIATE ,37,394,372,375,Brooklyn
23K514,Frederick Douglass Academy VII High School ,50,416,396,414,Brooklyn
23K643,Brooklyn Democracy Academy ,18,347,371,323,Brooklyn
23K645,EBC High School for Public Service - East New York ,24,376,358,368,Brooklyn
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35,349,329,341,Brooklyn
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ,12,385,378,391,Brooklyn
23K697,TEACHERS PREPARATORY SCHOOL ,59,396,389,389,Brooklyn
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,65,407,432,417,Queens
